User undefined came online, timestamp: 1302890423755
action: get points player, for player: 8627665, layer: 0, timestamp: 1302890432567
User undefined went offline, timestamp: 1302890434714
User undefined came online, timestamp: 1302890439230
User undefined came online, timestamp: 1302890941811
action: get points player, for player: 8627665, layer: 0, timestamp: 1302890946019
action: colored, x: 56, y: 277, layer: 00, timestamp: 1302890965095
action: colored, x: 62, y: 266, layer: 00, timestamp: 1302890965111
action: colored, x: 63, y: 261, layer: 00, timestamp: 1302890965129
action: colored, x: 65, y: 257, layer: 00, timestamp: 1302890965144
action: colored, x: 65, y: 247, layer: 00, timestamp: 1302890965160
action: colored, x: 60, y: 243, layer: 00, timestamp: 1302890965177
action: colored, x: 53, y: 242, layer: 00, timestamp: 1302890965194
action: colored, x: 48, y: 241, layer: 00, timestamp: 1302890965211
action: colored, x: 45, y: 240, layer: 00, timestamp: 1302890965227
action: colored, x: 44, y: 240, layer: 00, timestamp: 1302890965244
action: colored, x: 45, y: 244, layer: 00, timestamp: 1302890965277
action: colored, x: 57, y: 261, layer: 00, timestamp: 1302890965294
action: colored, x: 76, y: 293, layer: 00, timestamp: 1302890965311
action: colored, x: 92, y: 314, layer: 00, timestamp: 1302890965327
User undefined came online, timestamp: 1302891027811
